name,date_1,number_1,date_0,number_0
ALPS_AS,31-aug-2023,60,,
ALPS_SMS,31-aug-2023,20,,
AR_DEVCHK,31-aug-2023,30,,
AR_DFM_COMMON,31-aug-2023,30,,
AR_DRC,31-aug-2023,50,,
AR_DRC_ENGINE,31-aug-2023,105,,
AR_ERC,31-aug-2023,30,,
AR_HDRC,31-aug-2023,50,,
AR_HERC,31-aug-2023,30,,
AR_HNE,31-aug-2023,45,,
AR_HSVS,31-aug-2023,30,,
AR_LVS_DFMFUN,31-aug-2023,30,,
AR_NE,31-aug-2023,45,,
AR_PVDB,31-aug-2023,45,,
AR_SVS,31-aug-2023,30,,
DEFIN,31-aug-2023,120,,
DEFOUT,31-aug-2023,120,,
DM,19-dec-2023,1,31-aug-2023,30
DXF2OA,31-aug-2023,120,,
EDFIN,31-aug-2023,30,,
EDFOUT,31-aug-2023,30,,
EMAP,31-aug-2023,30,,
GDSIN,31-aug-2023,120,,
GDSOUT,31-aug-2023,120,,
IWAVE,31-aug-2023,10,,
LEFIN,31-aug-2023,120,,
LEFOUT,31-aug-2023,120,,
LEL2,31-aug-2023,30,,
LM,31-aug-2023,30,,
NETLISTOUT,31-aug-2023,30,,
OA2DXF,31-aug-2023,120,,
SE,31-aug-2023,30,,
SGE,31-aug-2023,30,,
SKI_EDITOR,31-aug-2023,20,,
SKI_HTRACE,31-aug-2023,20,,
SKI_VIEWER,31-aug-2023,20,,
VCELL,31-aug-2023,120,,
VERILOGIN,31-aug-2023,30,,
VERILOGOUT,31-aug-2023,30,,
LE,31-aug-2023,30,,
LEADV,31-aug-2023,30,,
VCELL_GUI,31-aug-2023,60,,
LEADV_MPT,31-aug-2023,30,,
LEL3,31-aug-2023,30,,
LE_LITE,31-aug-2023,30,,
SE_LITE,31-aug-2023,30,,
MDE,31-aug-2023,30,,
MDE_L2,31-aug-2023,30,,
AETHER_TCL,31-aug-2023,30,,
ZDB2OA,31-aug-2023,30,,
ALPS_AMS,31-aug-2023,10,,
ALPS_DS,31-aug-2023,10,,
ALPS_POST,31-aug-2023,10,,
AR_DBSVS,31-aug-2023,15,,
AR_DRS_DEBUG,31-aug-2023,15,,
AR_DRS_EDITOR,31-aug-2023,15,,
AR_DFM_ENGINE,31-aug-2023,15,,
AR_HIER_GOA_ENGINE,31-aug-2023,15,,
AR_SVG_ENGINE,31-aug-2023,15,,
FLASHLVL,31-aug-2023,35,,
PVE,31-aug-2023,15,,
PVE_AUTO_REPORT,31-aug-2023,15,,
AR_RBOPC,31-aug-2023,15,,
ARGUSX_DRC,31-aug-2023,15,,
ArgusX_LVS,31-aug-2023,15,,
FLASHLVL_CLIENT,31-aug-2023,15,,
QuaLib,31-aug-2023,2,,
Qualib_ARC_Prediction,31-aug-2023,2,,
QuaLib_DynamicQA,31-aug-2023,2,,
QuaLib_DynamicQA_Client,31-aug-2023,2,,
Qualib_Model_Comparison,31-aug-2023,2,,
Qualib_ModelClient,31-aug-2023,4,,
Qualib_ModelQA,31-aug-2023,2,,
Qualib_PPA_Comparison,31-aug-2023,2,,
QuaLib_Trend,31-aug-2023,2,,
HRC,31-aug-2023,15,,
RCE_DBC,31-aug-2023,60,,
RCE_DSPF,31-aug-2023,15,,
RCE_EXT,31-aug-2023,45,,
RCE_TABLE,31-aug-2023,15,,
RCE_FS,31-aug-2023,15,,
RCE_ARC2,31-aug-2023,15,,
RCE_ARC2_AD,31-aug-2023,15,,
RCE_ARC2_VI,31-aug-2023,15,,
RCE_P2P,31-aug-2023,15,,
RCE_FPD_DBC,31-aug-2023,15,,
RCE_FPD_FS,31-aug-2023,15,,
RCE_FPD_TP,31-aug-2023,15,,
SKI_3D,31-aug-2023,20,,
SKI_3DIC,31-aug-2023,20,,
SKI_AJDV,31-aug-2023,20,,
SKI_ANALYSIS,31-aug-2023,20,,
SKI_API,31-aug-2023,20,,
SKI_CACHE,31-aug-2023,20,,
SKI_ESDVIEWER,31-aug-2023,20,,
SKI_FIB,31-aug-2023,20,,
SKI_IPM,31-aug-2023,20,,
SKI_MEBES,31-aug-2023,20,,
SKI_L2D,31-aug-2023,20,,
SKI_LSERVER,31-aug-2023,20,,
SKI_LEFABSTRACTOR,31-aug-2023,20,,
SKI_XORMEBES,31-aug-2023,20,,
SKI_MGR,31-aug-2023,20,,
SKI_ADVEDITING,31-aug-2023,20,,
SKI_WMARK,31-aug-2023,20,,
