Macro_Name,Width,Length
BEOLCAP1,864,4000
CMBSRP_1,4000,1440
CMBSRP_2,4000,1440
CMBSRP_3,4500,1440
CMBSRP_4,4000,1440
COMB,2000,150
COMBSRP_5,4000,2800
FBEOL,2000,54
IA_DEF_AIO_SERP,2000,135
ISOVIA_1,2000,108
ISOVIA_2,2000,108
ISOVIA_3,2000,80
ISOVIA_4,2000,80
ISOVIA_LRG_BAR,2000,108
ISOVIA_LRG_BAR_1,2000,80
ISOVIA_PAB,2000,108
ISOVIA_PRBDAM,2000,378
ISOVIAE_1,2000,108
ISOVIAE_2,2000,108
ISOVIAE_3,2000,160
ISOVIASTKISL,2000,108
ISOVIAX_1,2000,108
ISOVIAX_2,2000,108
ISOVIAX_3,2000,160
M1_DECOMP1,2000,500
M1_DECOMP2,2000,500
M1_DECOMP3,2000,500
M1_DECOMP4,2000,500
MAZE_1,2000,486
MAZE_2,2000,216
MPS_1,4000,
MPS_2,4000,1440
MPS_3,4000,1350
STKVIA_1,2000,216
STKVIACHN,4000,1080
STKVIACHN_1,2000,191
STKVIACHN_2,4000,560
TA_Hotspot_Clips,750,750
TA_Hotspot_Clips_c1,750,750
VIACHN_1,4000,750
VIACHN_2,4000,750
VIACHN_3,4000,1578
VIACHN_4,2000,323
VIACHN_5,2000,139
VIACHN_6,2000,191
VIACHN_7,2000,191
VIACHN_8,2000,161
VIACHN_BARLRG,4000,1125
VIASPCE_1,2000,275
VIASPACE_HJ,2000,162
VIASPACE_YQ,2000,162
WIRERES_1,4000,1000
WIRERES_2,4000,1000
WIRERES_3,4000,1000
WIRERES_4,4000,1000
WIRERES_5,4000,1000
WWVIACHN,2000,648
AK_COV1,2000,324
AK_COV2,2000,324
AK_COV3,2000,324
AK_COV4,2000,324
ALL_IN_ONE,2000,108
ALL_IN_ONE_c1,2000,108
ALL_IN_ONE_c2,2000,108
ALL_IN_ONE_c3,2000,108
ALL_IN_ONE_c4,2000,108
B144_CT_E1,2000,54
B144_CT_E2,2000,54
B144_CT_E3,2000,54
B144_CT_E4,2000,54
B144_TQ_E1,2000,54
B144_TQ_E2,2000,54
B144_TQ_E3,2000,54
B144_TQ_E4,2000,54
B144_TQ_E6,2000,54
B144_TQ_E7,2000,54
B144_TQ_E8,2000,54
BCF_AVTN,2000,108
BCF_AVTP,2000,108
BCF_EGN,2000,108
BCF_EGP,2000,108
BL_CELSGOM,2000,54
