,DTEXCLUD,DT_EXCLUD_removed,DNORC,FV,$OUTLINE,PC_100:boundary,FIND_EC_02,CHIPEDGE,GUARDEDG,NAME,CHIPNAME,DIRRX,DIRDT,DIRPC,DIRCA,DIRV1,DIRV2,DIRV3,DIRV4,DIRCB,DIRW0,DIRW1,DIRYY,DIRCT,DIRM1,DIRM2,DIRM3,DIRM4,DIRM5,DIRB1,DIRB2,DIRI1
SX_C_A2,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SX_C_A4,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PfAvtA_1,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PfHvtA_1,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
K8_KREACHER_B128,"DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD, DTEXCLUD",None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,FIND_EC_02,CHIPEDGE,"GUARDEDG, GUARDEDG",NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ts_huron_quartz_10m_top,DTEXCLUD,None,None,FV,$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ALL_IN_ONE,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SX_C_A5,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IA_RX_STEPHEIGHT,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ADD_VX_excludPato,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
